author_name,author_id,gender,affiliation,seniority,nb_publi,pub_rate,first_author_por,avg_coauthor
Arun Iyengar,1000,male,IBM Research,30,113,3.77,16,4.08
Michael Dahlin,1001,male,University of Texas at Austin USA,25,83,3.32,10,4.45
Peter F. Patel-Schneider,1002,male,Bell Labs,34,126,3.71,46,3.02
Ian Horrocks,1003,male,University of Oxford UK,23,384,16.7,23,4.29
Yuzhong Qu,1004,,,24,100,4.17,8,3.49
Wei Hu,1005,,Nanjing University State Key Laboratory for Novel Software Technology China,14,33,2.36,52,3.76
Gong Cheng,1006,,,17,107,6.29,42,4.07
Shumeet Baluja,1007,,,26,87,3.35,64,2.38
Takuya Maekawa,1008,male,,15,88,5.87,38,3.89
Takahiro Hara,1009,male,,22,350,15.91,14,4.04
Shojiro Nishio,1010,,,36,380,10.56,4,4.11
Baoning Wu,1011,,,16,15,0.94,53,2.67
Brian D. Davison,1012,male,Lehigh University Bethlehem PA USA,22,103,4.68,18,2.81
Andre Luiz da Costa Carvalho,1013,male,,14,19,1.36,47,5.05
Paul-Alexandru Chirita,1014,male,L3S Research Center Hanover Germany,16,30,1.88,63,4.0
Edleno Silva de Moura,1015,,,21,112,5.33,14,4.72
Pavel Calado,1016,male,,19,79,4.16,11,4.46
Wolfgang Nejdl,1017,male,University of Hanover Germany,32,413,12.91,13,3.75
Alexandros Ntoulas,1018,male,,19,36,1.89,25,3.58
Marc Najork,1019,male,,29,85,2.93,31,3.25
Dennis Fetterly,1020,male,,16,28,1.75,50,3.46
Margaret Gaitatzes Kostoulas,1021,female,,13,3,0.23,33,6.0
Morris Matsa,1022,male,,13,3,0.23,33,6.0
Noah Mendelsohn,1023,male,,37,8,0.22,38,3.5
Eric Perkins,1024,male,,13,3,0.23,33,6.0
Abraham Heifets,1025,male,,13,7,0.54,28,3.86
Shuohao Zhang,1026,,,17,6,0.35,67,2.83
Curtis E. Dyreson,1027,male,Utah State University,26,112,4.31,52,3.3
Mustaque Ahamad,1028,,Georgia Institute of Technology Atlanta GA USA,35,132,3.77,20,3.45
Eelco Herder,1029,male,Radboud Universiteit Nijmegen The Netherlands,17,96,5.65,15,4.07
Sheizaf Rafaeli,1030,,,23,59,2.57,27,3.1
Ding Zhou,1031,,,15,27,1.8,37,4.93
Eren Manavoglu,1032,male,,16,18,1.12,6,4.94
Jia Li,1033,,,23,291,12.65,34,3.92
C. Lee Giles,1034,,Penn State University Park USA,34,457,13.44,6,4.36
Hongyuan Zha,1035,,Penn State University Park USA,26,300,11.54,5,4.47
Daniel N. Meredith,1036,male,,14,3,0.21,0,4.0
Jan Pieper,1037,male,,18,15,0.83,13,6.27
Stephen Dill,1038,male,,18,11,0.61,45,6.82
Ravi Kumar,1039,male,Google,26,268,10.31,25,3.97
Jasmine Novak,1040,female,,16,15,0.94,7,4.73
Prabhakar Raghavan,1041,,Stanford University USA,34,192,5.65,23,3.47
Andrew Tomkins,1042,male,,27,117,4.33,8,4.4
Wen-tau Yih,1043,,,22,84,3.82,20,3.98
Vitor R. Carvalho,1044,,Carnegie Mellon University Pittsburgh USA,15,24,1.6,46,4.04
Reid Andersen,1045,male,,15,33,2.2,88,3.12
Kevin J. Lang,1046,male,,34,48,1.41,40,3.23
Masashi Toyoda,1047,male,,22,95,4.32,20,3.94
Masaru Kitsuregawa,1048,male,University of Tokyo Japan,37,376,10.16,10,3.39
Engin Kirda,1049,male,,19,170,8.95,16,4.15
Christopher Krugel,1050,male,University of California Santa Barbara Computer Science Department,20,242,12.1,11,4.64
Mourad Ouzzani,1051,male,Qatar Computing Research Institute HBKU Qatar,25,128,5.12,10,5.48
Federica Paci,1052,female,,13,69,5.31,22,4.39
Elisa Bertino,1053,female,Purdue University,38,1002,26.37,36,3.5
Taro Tezuka,1054,male,,18,55,3.06,38,3.24
