"Step","spotify-RLSum_LO - utility","spotify-RLSum_LO - utility__MIN","spotify-RLSum_LO - utility__MAX","spotify-RLSum_HI - utility","spotify-RLSum_HI - utility__MIN","spotify-RLSum_HI - utility__MAX","spotify-RLSum_BL - utility","spotify-RLSum_BL - utility__MIN","spotify-RLSum_BL - utility__MAX","spotify-RLSum_DC - utility","spotify-RLSum_DC - utility__MIN","spotify-RLSum_DC - utility__MAX","spotify-RLSum_IC - utility","spotify-RLSum_IC - utility__MIN","spotify-RLSum_IC - utility__MAX"
"0","3.910405095885086","3.910405095885086","3.910405095885086","1.5582794116607865","1.5582794116607865","1.5582794116607865","5.011845217064474","5.011845217064474","5.011845217064474","1.3775577990988612","1.3775577990988612","1.3775577990988612","7.479101215560546","7.479101215560546","7.479101215560546"
"1","5.152664123531696","5.152664123531696","5.152664123531696","3.1557322177962503","3.1557322177962503","3.1557322177962503","2.368109242337092","2.368109242337092","2.368109242337092","-0.5960744844600913","-0.5960744844600913","-0.5960744844600913","9.749029390574673","9.749029390574673","9.749029390574673"
"2","6.863706217663995","6.863706217663995","6.863706217663995","2.7391935128893627","2.7391935128893627","2.7391935128893627","4.80766391301822","4.80766391301822","4.80766391301822","-0.8242742322756951","-0.8242742322756951","-0.8242742322756951","9.921887414403058","9.921887414403058","9.921887414403058"
"3","7.709455570422669","7.709455570422669","7.709455570422669","3.903089661446948","3.903089661446948","3.903089661446948","3.4111587389075178","3.4111587389075178","3.4111587389075178","7.924998938508207","7.924998938508207","7.924998938508207","3.9884331958029335","3.9884331958029335","3.9884331958029335"
"4","8.648102109345464","8.648102109345464","8.648102109345464","0.7769558304680393","0.7769558304680393","0.7769558304680393","3.9281194711150875","3.9281194711150875","3.9281194711150875","1.3520597435832136","1.3520597435832136","1.3520597435832136","12.119332439941655","12.119332439941655","12.119332439941655"
"5","9.337925700575658","9.337925700575658","9.337925700575658","1.4788799921654756","1.4788799921654756","1.4788799921654756","8.762288146801973","8.762288146801973","8.762288146801973","0.639730508800084","0.639730508800084","0.639730508800084","8.740934608086926","8.740934608086926","8.740934608086926"
"6","8.108999525011715","8.108999525011715","8.108999525011715","4.0306576424275535","4.0306576424275535","4.0306576424275535","4.283227615382072","4.283227615382072","4.283227615382072","13.567987278292966","13.567987278292966","13.567987278292966","3.514481907913017","3.514481907913017","3.514481907913017"
"7","2.464580898174967","2.464580898174967","2.464580898174967","7.837506691505829","7.837506691505829","7.837506691505829","4.655921104752163","4.655921104752163","4.655921104752163","15.231995673500613","15.231995673500613","15.231995673500613","14.719040046838035","14.719040046838035","14.719040046838035"
"8","7.766627516396073","7.766627516396073","7.766627516396073","4.682225010495457","4.682225010495457","4.682225010495457","-1.6477622792527178","-1.6477622792527178","-1.6477622792527178","11.51159564676248","11.51159564676248","11.51159564676248","13.362888316409585","13.362888316409585","13.362888316409585"
"9","9.36996506297018","9.36996506297018","9.36996506297018","4.630094910618067","4.630094910618067","4.630094910618067","-6.939643600436679","-6.939643600436679","-6.939643600436679","6.5559517636645985","6.5559517636645985","6.5559517636645985","9.852940846929076","9.852940846929076","9.852940846929076"
"10","1.1551206532618683","1.1551206532618683","1.1551206532618683","-2.725321418314936","-2.725321418314936","-2.725321418314936","-2.581089272119616","-2.581089272119616","-2.581089272119616","3.6039487087015374","3.6039487087015374","3.6039487087015374","9.964213035441972","9.964213035441972","9.964213035441972"
"11","7.1360102627716575","7.1360102627716575","7.1360102627716575","13.335434325722412","13.335434325722412","13.335434325722412","-3.6160954370151748","-3.6160954370151748","-3.6160954370151748","13.575130882023572","13.575130882023572","13.575130882023572","3.645609186453786","3.645609186453786","3.645609186453786"
"12","12.804536786155467","12.804536786155467","12.804536786155467","6.532658330186151","6.532658330186151","6.532658330186151","0.7563156781558411","0.7563156781558411","0.7563156781558411","11.853960159171185","11.853960159171185","11.853960159171185","25.63038893455806","25.63038893455806","25.63038893455806"
"13","15.84066611422716","15.84066611422716","15.84066611422716","11.280525556752664","11.280525556752664","11.280525556752664","4.197117342738235","4.197117342738235","4.197117342738235","9.40254335772247","9.40254335772247","9.40254335772247","8.987161465249962","8.987161465249962","8.987161465249962"
"14","6.848590574821348","6.848590574821348","6.848590574821348","5.500732092733112","5.500732092733112","5.500732092733112","10.38547546654214","10.38547546654214","10.38547546654214","16.08319072448606","16.08319072448606","16.08319072448606","17.800766837175335","17.800766837175335","17.800766837175335"
"15","7.805745896739264","7.805745896739264","7.805745896739264","3.3218972456574627","3.3218972456574627","3.3218972456574627","1.9896271166089987","1.9896271166089987","1.9896271166089987","11.325682937582076","11.325682937582076","11.325682937582076","17.130120164307353","17.130120164307353","17.130120164307353"
"16","8.09342011379474","8.09342011379474","8.09342011379474","-7.9438617236527955","-7.9438617236527955","-7.9438617236527955","5.29586254936559","5.29586254936559","5.29586254936559","12.898446433513902","12.898446433513902","12.898446433513902","16.331338453225104","16.331338453225104","16.331338453225104"
"17","8.13463959217384","8.13463959217384","8.13463959217384","10.280120551127673","10.280120551127673","10.280120551127673","7.565722685518684","7.565722685518684","7.565722685518684","11.511454994779147","11.511454994779147","11.511454994779147","11.96533888558422","11.96533888558422","11.96533888558422"
